70, 20, 10, 400, 32, 10, sgd, 0.003, 1.000000, 0.000, 1.000000e-01, 20, 1000, 70000, 50, 3500.0000, 2.4122, 0.936584, 89.857143, 89
70, 20, 10, 400, 32, 10, sgd, 0.003, 1.000000, 0.000, 1.000000e-01, 20, 1000, 35000, 100, 3500.0000, 2.8264, 0.831917, 88.942857, 87
70, 20, 10, 400, 32, 10, sgd, 0.003, 1.000000, 0.000, 1.000000e-01, 100, 1000, 35000, 100, 3500.0000, 2.9352, 0.607752, 91.742857, 9.160000e+01
70, 20, 10, 400, 32, 10, sgd, 0.003, 1.000000, 0.000, 1.000000e-01, 100, 500, 7000, 250, 3500.0000, 3.0896, 0.791242, 90.885714, 8.940000e+01
70, 20, 10, 400, 32, 10, sgd, 0.003, 1.000000, 0.000, 1.000000e-01, 100, 500, 7000, 250, 3500.0000, 3.1031, 0.861127, 88.028571, 8.950000e+01
70, 20, 10, 400, 32, 10, sgd, 0.000, 10.000000, 0.000, 1.000000e-01, 100, 500, 7000, 250, 3500.0000, 2.2033, 1.219715, 90.342857, 8.690000e+01
70, 20, 10, 400, 32, 10, sgd, 0.000, 10.000000, 0.000, 1.000000e-01, 100, 500, 7000, 250, 3500.0000, 2.2868, 1.041125, 89.342857, 87
70, 20, 10, 400, 32, 10, sgd, 0.000, 10.000000, 10.000, 1, 100, 500, 7000, 250, 3500.0000, 2.0560, 1.258166, 92.657143, 9.030000e+01
70, 20, 10, 400, 32, 10, sgd, 0.001, 1.000000, 1.000, 1, 100, 500, 7000, 250, 3500.0000, 3.1281, 0.589444, 91.914286, 8.980000e+01
70, 20, 10, 400, 32, 20, sgd, 0.001, 1.000000, 1.000, 1, 100, 10, 140, 250, 3500.0000, 3.2380, 3.018210, 55.228571, 5.320000e+01
70, 20, 10, 400, 32, 20, sgd, 0.000, 1.000000, 1.000, 1, 100, 100, 1400, 250, 3500.0000, 3.2440, 1.009514, 82.942857, 7.940000e+01
70, 20, 10, 400, 32, 20, sgd, 0.000, 1.000000, 1.000, 1, 100, 300, 4200, 250, 3500.0000, 3.2506, 1.376789, 84.057143, 8.140000e+01
70, 20, 10, 400, 32, 20, sgd, 0.000, 1.000000, 1.000, 1, 100, 300, 4200, 250, 3500.0000, 3.2456, 0.773717, 88.457143, 8.460000e+01
70, 20, 10, 400, 32, 20, sgd, 0.000, 0.500000, 0.500, 1, 100, 300, 4200, 250, 3500.0000, 3.3134, 1.085531, 81.714286, 8.290000e+01
70, 20, 10, 400, 128, 32, sgd, 0.000, 0.500000, 0.500, 1, 100, 300, 4200, 250, 3500.0000, 3.2526, 0.701957, 91.800000, 90
70, 20, 10, 400, 128, 32, sgd, 0.100, 0.500000, 0.500, 1, 100, 300, 4200, 250, 3500.0000, 3.2935, 1.738278, 87.742857, 8.740000e+01
70, 20, 10, 400, 128, 32, sgd, 0.100, 0.500000, 0.500, 1, 100, 300, 4200, 250, 3500.0000, 3.2991, 1.918353, 87.428571, 8.560000e+01
70, 20, 10, 400, 128, 32, sgd, 0.100, 0.100000, 0.100, 1, 100, 300, 4200, 250, 3500.0000, 3.9895, 1.605119, 76.828571, 7.650000e+01
70, 20, 10, 400, 128, 32, sgd, 0.100, 0.100000, 0.100, 1, 100, 500, 7000, 250, 3500.0000, 4.2498, 1.241370, 84.714286, 84
70, 20, 10, 400, 128, 32, sgd, 0.100, 1.000000, 1.000, 1, 100, 500, 7000, 250, 3500.0000, 3.2889, 58.593197, 83.485714, 8.260000e+01
70, 20, 10, 400, 128, 32, sgd, 0.100, 1.000000, 0.349, 9.000000e-01, 50, 500, 7000, 250, 3500.0000, 3.2783, 1.657958, 91.085714, 8.750000e+01
70, 20, 10, 400, 128, 32, sgd, 0.100, 1.000000, 0.001, 5.000000e-01, 50, 500, 7000, 250, 3500.0000, 3.2848, 0.978111, 88.314286, 8.770000e+01
70, 20, 10, 400, 128, 32, sgd, 0.100, 1.000000, 0.031, 5.000000e-01, 100, 500, 7000, 250, 3500.0000, 3.2852, 0.869651, 91.457143, 8.860000e+01
70, 20, 10, 400, 128, 32, sgd, 0.100, 1.000000, 0.237, 7.500000e-01, 100, 500, 7000, 250, 3500.0000, 3.2785, 0.933616, 92.485714, 9.060000e+01
80, 10, 10, 400, 128, 32, sgd, 0.100, 0.100000, 0.100, 1, 100, 500, 8000, 250, 4000.0000, 3.9108, 1.275054, 85.400000, 8.380000e+01
80, 10, 10, 400, 128, 64, sgd, 0.000, 0.500000, 0.500, 1, 100, 500, 8000, 250, 4000.0000, 3.2531, 1.085439, 84.850000, 82
80, 10, 10, 400, 128, 64, sgd, 0.000, 0.500000, 0.500, 1, 100, 100, 1600, 250, 4000.0000, 3.2529, 1.617052, 66.450000, 6.780000e+01
80, 10, 10, 400, 128, 32, sgd, 0.000, 0.005000, 0.005, 1, 100, 1000, 200000, 20, 4000.0000, 6.8736, 0.573750, 86.800000, 86
80, 10, 10, 400, 128, 32, sgd, 0.000, 0.005000, 0.005, 1, 100, 3000, 600000, 20, 4000.0000, 7.3002, 0.302217, 92.600000, 8.940000e+01
80, 10, 10, 400, 32, 20, sgd, 0.000, 3.000000, 3.000, 1, 100, 30, 12000, 10, 4000.0000, 8.2945, 1.284877, 83.950000, 8.520000e+01
80, 10, 10, 400, 32, 10, sgd, 0.000, 3.000000, 3.000, 1, 100, 30, 12000, 10, 4000.0000, 8.5945, 1.262501, 90.000000, 8.880000e+01
